기관명,호선,전철역명,전철역코드,로마자,일본어,중국어,간체,중국어,번체,환승역여부,신설일자,,,,
대구교통공사,1호선,설화명곡,115,Seolhwa·Myeonggok,ソルァミョンゴク,舌化椧谷,舌化椧谷,N,20160908,,,,,,
대구교통공사,1호선,화원,116,Hwawon,ファウォン,花園,花園,N,20160908,,,,,,
대구교통공사,1호선,대곡(정부대구청사),117,Gov't,Office-Daegu),Daegok(Jeongbudaegucheongsa),?谷,?谷,?谷(政府?邱廳舍),N,20020630,,,,
대구교통공사,1호선,진천,118,Jincheon,辰泉,辰泉,辰泉,N,19971126,,,,,,
대구교통공사,1호선,월배,119,Wolbae,月背,月背,月背,N,19971126,,,,,,
대구교통공사,1호선,상인,120,Sangin,上仁,上仁,上仁,N,19971126,,,,,,
대구교통공사,1호선,월촌,121,Wolchon,月村,月村,月村,N,19971126,,,,,,
대구교통공사,1호선,송현,122,Songhyeon,松峴,松?,松峴,N,19980502,,,,,,
대구교통공사,1호선,서부정류장(관문시장),123,Bus,Terminal(Gwanmun,Market),Seongdangmot,ソブジョンニュジャン(?門市場),西部客?站,(??市?),西部客運站(關門市場),N,19971130,,
대구교통공사,1호선,대명,124,Daemyeong,?明,?明,?明,N,19971126,,,,,,
대구교통공사,1호선,안지랑,125,Anjirang,アンジラン,安吉朗,,N,19971126,,,,,,
대구교통공사,1호선,현충로,126,station,Hyeonchung-ro,顯忠路,?忠路,,,,顯忠路,N,19971126,,
대구교통공사,1호선,영대병원,127,University,Hospital,Yeongdae,Hospital,嶺?病院,嶺?病院,嶺?病院,N,19971126,,,
대구교통공사,1호선,교대,128,University,Of,Education,Nat'l,Univ.,of,Education,敎?,敎?,敎?,N,19971126
대구교통공사,1호선,명덕(2.28민주운동기념회관),129,2?28,Movement,for,Democracy,museum),Myeongdeok(2.28Minjuundongginyeomhoegwan),明德,明德,明德(2?28,民主運動紀念會館),Y,19971130
대구교통공사,1호선,반월당,130,Banwoldang,半月堂,半月堂,半月堂,Y,19971126,,,,,,
대구교통공사,1호선,중앙로,131,Station,Jungang-ro,中?路,中?路,中?路驛,N,19971126,,,,,
대구교통공사,1호선,대구역,132,Station,Daegu,Station,?邱驛,?邱站,?邱驛,N,19980502,,,,
대구교통공사,1호선,칠성시장,133,Chilseong,Market,Chilseong,Market,チルソンシジャン,七星市?,七星市場,N,19880502,,,
대구교통공사,1호선,신천(경북대입구),134,Nat'l,Univ.),Sincheon(Gyeongbukdaeip-gu),新川(慶北?入口),新川,(慶北?入口),新川,(慶北?入口),N,19980502,,
대구교통공사,1호선,동대구역,135,Station,Dongdaegu,Station,トンデグヨク,??邱站,東?邱驛,N,19971130,,,,
대구교통공사,1호선,동구청(큰고개),136,Office(Keungogae),Dong-gu,Office(Keungogae),トングチョン(クンゴゲ),???(肯高盖),東區廳,N,19980502,,,,
대구교통공사,1호선,아양교,137,Ayanggyo,アヤンギョ,(?邱?際空港入口),峨??,(?邱??机??口),"峨?橋_x000D_
(?邱國際空港入口)",N,19980331,,,,
대구교통공사,1호선,동촌,138,Resort),Dongchon,東村,?村,(?村游?地),"東村_x000D_
(東村遊園地)",N,19980502,,,,
대구교통공사,1호선,해안,139,Haean,解顔,解顔,解顔,N,19980830,,,,,,
대구교통공사,1호선,방촌,140,Bangchon,芳村,芳村,芳村,N,19980521,,,,,,
대구교통공사,1호선,용계,141,Yonggye,龍溪,龍溪,龍溪,N,19980502,,,,,,
대구교통공사,1호선,율하,142,Yulha,栗下,栗下,栗下,N,19980331,,,,,,
대구교통공사,1호선,신기,143,Singi,新基,新基,新基,N,19980331,,,,,,
대구교통공사,1호선,반야월,144,Banyawol,半?月,半?月,半?月,N,19980413,,,,,,
대구교통공사,1호선,각산,145,Gaksan,角山,角山,角山,N,19980331,,,,,,
대구교통공사,1호선,안심(혁신도시·첨복단지),146,city,·,High-techMedical,Complex),Ansim(Hyeoksindositpcheombokdanji),安心,安心,安心(革新都市·尖複團地驛),N,19980502,,
,1호선,대구한의대병원,147,,,,,,,,,,,,
,1호선,부호,148,,,,,,,,,,,,
,1호선,하양,149,,,,,,,,,,,,
