전철역코드,전철역명,호선,환승역구분,환승노선번호,환승노선명,위도,경도,역사도로명주소,,,,
8001,부전역,동해선,일반역,,,35.164668,129.06011,부산광역시,부산진구,부전로,181,
8002,거제해맞이역,동해선,환승역,S2603,부산지하철3호선,35.182197,129.069315,부산광역시,연제구,거제동,619-1,
8003,거제역,동해선,일반역,,,35.188587,129.073904,부산광역시,연제구,거제동,619-1,
8004,교대역,동해선,환승역,S2601,부산지하철1호선,37.492975,127.013814,부산광역시,연제구,거제동,42-3,
8005,동래역,동해선,일반역,,,35.205614,129.078502,부산광역시,동래구,낙민동,130-4,
8006,안락역,동해선,일반역,,,35.195907,129.101062,부산광역시,동래구,안락동,201-2,
8015,부산원동역,동해선,일반역,,,35.362703,128.920499,부산시,동래구,안락동,52-2,
8007,재송역,동해선,일반역,,,35.189,129.120919,부산광역시,해운대구,재송동,933-1,
8008,센텀역,동해선,일반역,,,35.168921,129.131659,부산광역시,해운대구,우동,1215-32,
8009,벡스코역,동해선,환승역,S2602,부산지하철2호선,35.16899,129.13868,부산광역시,해운대구,우동,1111-2,
8010,신해운대역,동해선,일반역,,,35.181832,129.176696,부산광역시,해운대구,좌동,138-4,
2514,송정역,동해선,일반역,,,35.137559,126.791535,부산광역시,해운대구,송정동,299-2,
8012,오시리아역,동해선,일반역,,,35.196256,129.208291,부산광역시,기장군,기장읍,당사리,261
8013,기장역,동해선,일반역,,,35.243027,129.218551,부산광역시,기장군,기장읍,청강리,25-16
8014,일광역,동해선,일반역,,,35.265565,129.233307,부산광역시,기장군,일광면,이천리,750-4
8016,좌천역,동해선,일반역,,,35.311838,129.241097,부산시,기장군,장안읍,좌천리,239-4
8017,월내역,동해선,일반역,,,35.328177,129.272625,부산시,기장군,장안읍,월내리,141-4
8018,서생역,동해선,일반역,,,35.345121,129.28904,울산시,울주군,서생면,화산리,1228-5
8019,남창역,동해선,일반역,,,35.419713,129.278077,울산시,울주군,온양읍,남창리,42-36
8020,망양역,동해선,일반역,,,35.456519,129.283667,울산시,울주군,온양읍,망양리,484-1
8021,덕하역,동해선,일반역,,,35.494007,129.29894,울산시,울주군,청량읍,상남리,533-15
8022,개운포역,동해선,일반역,,,35.507884,129.31697,울산시,남구,상개리,97-1,
8023,태화강역,동해선,일반역,,,35.538669,129.349169,울산광역시,남구,산업로,654,
